State	"Overall Rank
 (1 Happiest)"	"% Sun 
Ranking"	"Temperature
Ranking"	"Precipitation
Ranking"
Hawaii	1	4	2	1
Utah	2	9	32	49
Minnesota	3	26	47	37
North Dakota	4	23	49	43
California	5	6	12	40
Idaho	6	13	40	42
Maryland	7	31	20	18
Iowa	8	24	36	31
South Dakota	9	15	38	41
Nebraska	10	17	30	38
Wisconsin	11	40	43	33
Connecticut	12	34	29	10
New Jersey	13	35	22	15
New York	14	47	37	25
Virginia	15	16	17	19
Massachusetts	16	27	35	14
Washington	17	46	34	29
Colorado	18	5	39	44
Georgia	19	10	5	7
North Carolina	20	21	13	9
Arizona	21	1	10	47
Texas	22	18	4	34
Illinois	23	36	24	27
New Hampshire	24	41	42	20
Kansas	25	12	19	35
Nevada	26	2	28	50
Delaware	27		16	16
Montana	28	25	45	45
Florida	29	11	1	5
Pennsylvania	30	28	31	21
Rhode Island	31	29	27	13
Indiana	32	39	25	26
Maine	33	32	48	24
Michigan	34	42	41	32
Wyoming	35	7	46	48
South Carolina	36	14	8	11
Ohio	37	43	26	28
Vermont	38	44	44	22
Oregon	39	45	33	36
Tennessee	40	37	14	6
New Mexico	41	3	21	46
Missouri	42	22	18	23
Mississippi	43	19	6	3
Kentucky	44	38	15	12
Alabama	45	30	7	4
Oklahoma	46	8	11	30
Alaska	47	48	50	39
Louisiana	48	33	3	2
Arkansas	49	20	9	8
West Virginia	50		23	17
