State	% Sun	Total Hours	Clear Days	Avg °F	Avg °C	Inches	Milli­metres
Alabama	58	2641	99	62.8	17.1	58.3	1480
Alaska	41	2061	61	26.6	-3	22.5	572
Arizona	85	3806	193	60.3	15.7	13.6	345
Arkansas	61	2771	123	60.4	15.8	50.6	1284
California	68	3055	146	59.4	15.2	22.2	563
Colorado	71	3204	136	45.1	7.3	15.9	405
Connecticut	56	2585	82	49	9.4	50.3	1279
Delaware	–	–	97	55.3	12.9	45.7	1160
Florida	66	2927	101	70.7	21.5	54.5	1385
Georgia	66	2986	112	63.5	17.5	50.7	1287
Hawaii	71	–	90	70	21.1	63.7	1618
Idaho	64	2993	120	44.4	6.9	18.9	481
Illinois	56	2567	95	51.8	11	39.2	996
Indiana	55	2440	88	51.7	10.9	41.7	1060
Iowa	59	2691	105	47.8	8.8	34	864
Kansas	65	2922	128	54.3	12.4	28.9	733
Kentucky	56	2514	93	55.6	13.1	48.9	1242
Louisiana	57	2649	101	66.4	19.1	60.1	1528
Maine	57	2513	101	41	5	42.2	1072
Maryland	57	2582	105	54.2	12.3	44.5	1131
Massachusetts	58	2634	98	47.9	8.8	47.7	1211
Michigan	51	2392	71	44.4	6.9	32.8	833
Minnesota	58	2711	95	41.2	5.1	27.3	693
Mississippi	61	2720	111	63.4	17.4	59	1499
Missouri	60	2690	115	54.5	12.5	42.2	1071
Montana	59	2698	82	42.7	5.9	15.3	390
Nebraska	61	2762	117	48.8	9.3	23.6	599
Nevada	79	3646	158	49.9	9.9	9.5	241
New Hampshire	54	2519	90	43.8	6.6	43.4	1103
New Jersey	56	2499	94	52.7	11.5	47.1	1196
New Mexico	76	3415	167	53.4	11.9	14.6	370
New York	46	2120	63	45.4	7.4	41.8	1062
North Carolina	60	2651	109	59	15	50.3	1279
North Dakota	59	2738	93	40.4	4.7	17.8	452
Ohio	50	2183	72	50.7	10.4	39.1	993
Oklahoma	68	3089	139	59.6	15.3	36.5	927
Oregon	48	2341	68	48.4	9.1	27.4	695
Pennsylvania	58	2614	87	48.8	9.3	42.9	1089
Rhode Island	58	2606	98	50.1	10.1	47.9	1218
South Carolina	64	2826	115	62.4	16.9	49.8	1264
South Dakota	63	2947	104	45.2	7.3	20.1	511
Tennessee	56	2510	102	57.6	14.2	54.2	1376
Texas	61	2850	135	64.8	18.2	28.9	734
Utah	66	3029	125	48.6	9.2	12.2	310
Vermont	49	2295	58	42.9	6.1	42.7	1085
Virginia	63	2829	100	55.1	12.8	44.3	1125
Washington	47	2170	58	48.3	9.1	38.4	976
West Virginia	–	–	60	51.8	11	45.2	1147
Wisconsin	54	2428	89	43.1	6.2	32.6	829
Wyoming	68	3073	114	42	5.6	12.9	328
