,Region,Country,Latitude,Longitude,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017
0,Western Europe,Switzerland,46.818188,8.227511999999999,1,7.587000000000001,2,7.5089999999999995,4,7.49399995803833
1,Western Europe,Iceland,64.96305100000001,-19.020835,2,7.561,3,7.501,3,7.50400018692017
2,Western Europe,Denmark,56.26392,9.501785,3,7.527,1,7.526,2,7.52199983596802
3,Western Europe,Norway,60.472024,8.468946,4,7.522,4,7.497999999999999,1,7.537000179290769
4,North America,Canada,56.130366,-106.34677099999999,5,7.4270000000000005,6,7.404,7,7.31599998474121
5,Western Europe,Finland,61.92411,25.748151,6,7.406000000000001,5,7.412999999999999,5,7.468999862670901
6,Western Europe,Netherlands,52.132633,5.291266,7,7.377999999999999,7,7.3389999999999995,6,7.3769998550415
7,Western Europe,Sweden,60.128161,18.643501,8,7.364,10,7.291,9,7.28399991989136
8,Australia and New Zealand,New Zealand,-40.900557,174.88597099999998,9,7.2860000000000005,8,7.334,8,7.31400012969971
9,Australia and New Zealand,Australia,-25.274398,133.775136,10,7.284,9,7.313,10,7.28399991989136
10,Middle East and Northern Africa,Israel,31.046051000000002,34.851612,11,7.278,11,7.267,11,7.212999820709231
11,Latin America and Caribbean,Costa Rica,9.748917,-83.753428,12,7.226,14,7.087000000000001,12,7.0789999961853
12,Western Europe,Austria,47.516231,14.550072,13,7.2,12,7.119,13,7.00600004196167
13,Latin America and Caribbean,Mexico,23.634501,-102.552784,14,7.187,21,6.778,25,6.57800006866455
14,North America,United States,37.09024,-95.712891,15,7.119,13,7.104,14,6.993000030517581
15,Latin America and Caribbean,Brazil,-14.235004,-51.92528,16,6.983,17,6.952000000000001,22,6.6350002288818395
16,Western Europe,Luxembourg,49.815273,6.129583,17,6.946000000000001,20,6.871,18,6.86299991607666
17,Western Europe,Ireland,53.41291,-8.243889999999999,18,6.94,19,6.907,15,6.9770002365112305
18,Western Europe,Belgium,50.503887,4.469936,19,6.937,18,6.928999999999999,17,6.89099979400635
19,Middle East and Northern Africa,United Arab Emirates,23.424076,53.847818000000004,20,6.901,28,6.5729999999999995,21,6.6479997634887695
20,Western Europe,United Kingdom,55.378051,-3.435973,21,6.867000000000001,23,6.725,19,6.71400022506714
21,Latin America and Caribbean,Venezuela,6.42375,-66.58973,23,6.81,44,6.084,82,5.25
22,Southeastern Asia,Singapore,1.352083,103.819836,24,6.797999999999999,22,6.739,26,6.57200002670288
23,Latin America and Caribbean,Panama,8.537981,-80.782127,25,6.7860000000000005,25,6.7010000000000005,30,6.4520001411438
24,Western Europe,Germany,51.165690999999995,10.451526,26,6.75,16,6.994,16,6.9510002136230495
25,Latin America and Caribbean,Chile,-35.675146999999996,-71.542969,27,6.67,24,6.705,20,6.65199995040894
26,Middle East and Northern Africa,Qatar,25.354826,51.183884,28,6.611000000000001,36,6.375,35,6.375
27,Western Europe,France,46.227638,2.213749,29,6.575,32,6.478,31,6.44199991226196
28,Latin America and Caribbean,Argentina,-38.416097,-63.616671999999994,30,6.574,26,6.65,24,6.59899997711182
29,Central and Eastern Europe,Czech Republic,49.817492,15.472961999999999,31,6.505,27,6.596,23,6.60900020599365
30,Latin America and Caribbean,Uruguay,-32.522779,-55.765834999999996,32,6.485,29,6.545,28,6.4539999961853
31,Latin America and Caribbean,Colombia,4.570868,-74.297333,33,6.477,31,6.481,36,6.35699987411499
32,Southeastern Asia,Thailand,15.870032,100.992541,34,6.455,33,6.474,32,6.4239997863769505
33,Middle East and Northern Africa,Saudi Arabia,23.885942,45.079162,35,6.4110000000000005,34,6.379,37,6.343999862670901
34,Western Europe,Spain,40.463667,-3.7492199999999998,36,6.329,37,6.361000000000001,34,6.40299987792969
35,Western Europe,Malta,35.937496,14.375416,37,6.3020000000000005,30,6.4879999999999995,27,6.52699995040894
36,Middle East and Northern Africa,Kuwait,29.311659999999996,47.481766,39,6.295,41,6.239,39,6.10500001907349
37,Latin America and Caribbean,Trinidad and Tobago,10.691803,-61.222503,41,6.167999999999999,43,6.167999999999999,38,6.1680002212524405
38,Latin America and Caribbean,El Salvador,13.794185,-88.89653,42,6.13,46,6.068,45,6.002999782562259
39,Latin America and Caribbean,Guatemala,15.783470999999999,-90.23075899999999,43,6.122999999999999,39,6.324,29,6.4539999961853
40,Central and Eastern Europe,Uzbekistan,41.377491,64.585262,44,6.002999999999999,49,5.987,47,5.97100019454956
41,Central and Eastern Europe,Slovakia,48.669026,19.699023999999998,45,5.995,45,6.077999999999999,40,6.09800004959106
42,Eastern Asia,Japan,36.204824,138.252924,46,5.987,53,5.921,51,5.92000007629395
43,Eastern Asia,South Korea,35.907757000000004,127.766922,47,5.984,57,5.835,55,5.837999820709231
44,Latin America and Caribbean,Ecuador,-1.8312389999999998,-78.183406,48,5.975,51,5.976,44,6.00799989700317
45,Middle East and Northern Africa,Bahrain,25.930414000000003,50.637772,49,5.96,42,6.218,41,6.08699989318848
46,Western Europe,Italy,41.87194,12.56738,50,5.9479999999999995,50,5.977,48,5.96400022506714
47,Latin America and Caribbean,Bolivia,-16.290154,-63.588653,51,5.89,59,5.822,58,5.82299995422363
48,Central and Eastern Europe,Moldova,47.411631,28.369884999999996,52,5.888999999999999,55,5.897,56,5.837999820709231
49,Latin America and Caribbean,Paraguay,-23.442503,-58.44383199999999,53,5.877999999999999,70,5.537999999999999,70,5.493000030517581
50,Central and Eastern Europe,Kazakhstan,48.019573,66.923684,54,5.855,54,5.919,60,5.8189997673034695
51,Central and Eastern Europe,Slovenia,46.151241,14.995463,55,5.848,63,5.768,62,5.75799989700317
52,Central and Eastern Europe,Lithuania,55.169438,23.881275,56,5.832999999999999,60,5.813,52,5.90199995040894
53,Latin America and Caribbean,Nicaragua,12.865416,-85.207229,57,5.827999999999999,48,5.992000000000001,43,6.07100009918213
54,Latin America and Caribbean,Peru,-9.189967,-75.015152,58,5.824,64,5.742999999999999,63,5.71500015258789
55,Central and Eastern Europe,Belarus,53.709807,27.953389,59,5.813,61,5.8020000000000005,67,5.5689997673034695
56,Central and Eastern Europe,Poland,51.919438,19.145135999999997,60,5.791,57,5.835,46,5.97300004959106
57,Southeastern Asia,Malaysia,4.210483999999999,101.97576600000001,61,5.77,47,6.005,42,6.08400011062622
58,Central and Eastern Europe,Croatia,45.1,15.2,62,5.7589999999999995,74,5.4879999999999995,77,5.2930002212524405
59,Middle East and Northern Africa,Libya,26.3351,17.228331,63,5.754,67,5.615,68,5.525000095367429
60,Central and Eastern Europe,Russia,61.52401,105.31875600000001,64,5.716,56,5.856,49,5.962999820709231
61,Latin America and Caribbean,Jamaica,18.109581,-77.297508,65,5.709,73,5.51,76,5.31099987030029
62,Western Europe,Cyprus,35.126413,33.429859,67,5.689,69,5.546,65,5.62099981307983
63,Middle East and Northern Africa,Algeria,28.033886,1.6596259999999998,68,5.605,38,6.355,53,5.872000217437741
64,Central and Eastern Europe,Kosovo,42.602636,20.902977,69,5.5889999999999995,77,5.401,78,5.27899980545044
65,Central and Eastern Europe,Turkmenistan,38.969719,59.556278000000006,70,5.547999999999999,65,5.6579999999999995,59,5.82200002670288
66,Sub-Saharan Africa,Mauritius,-20.348404000000002,57.552152,71,5.477,66,5.648,64,5.62900018692017
67,Central and Eastern Europe,Estonia,58.595271999999994,25.013607,73,5.428999999999999,72,5.517,66,5.61100006103516
68,Southeastern Asia,Indonesia,-0.789275,113.921327,74,5.399,79,5.314,81,5.26200008392334
69,Southeastern Asia,Vietnam,14.058323999999999,108.277199,75,5.36,96,5.061,94,5.07399988174438
